Product_Name,Pricing,Ratings
APPLE iPhone 12 (Red| 64 GB),59999,4.7
APPLE iPhone 12 Mini (Purple| 64 GB),49999,4.5
APPLE iPhone 12 (Blue| 64 GB),59999,4.7
APPLE iPhone 12 Mini (White| 64 GB),49999,4.5
APPLE iPhone SE (Black| 64 GB),29999,4.5
APPLE iPhone 12 (Blue| 128 GB),64999,4.7
APPLE iPhone 12 (White| 64 GB),59999,4.7
APPLE iPhone 12 Mini (Blue| 128 GB),54999,4.5
APPLE iPhone SE (White| 64 GB),29999,4.5
APPLE iPhone 12 Mini (Black| 64 GB),49999,4.5
APPLE iPhone 12 Mini (Blue| 64 GB),49999,4.5
APPLE iPhone 12 (Green| 64 GB),59999,4.7
APPLE iPhone SE (Red| 64 GB),29999,4.5
APPLE iPhone 12 Mini (Purple| 128 GB),54999,4.5
APPLE iPhone 12 Mini (White| 128 GB),54999,4.5
APPLE iPhone 12 Mini (Green| 128 GB),54999,4.5
APPLE iPhone 12 Mini (Red| 128 GB),54999,4.5
APPLE iPhone 12 Mini (Green| 64 GB),49999,4.5
APPLE iPhone SE (Black| 128 GB),34999,4.5
APPLE iPhone 12 Mini (Red| 64 GB),49999,4.5
APPLE iPhone 12 Mini (Blue| 256 GB),64999,4.5
APPLE iPhone 13 (Blue| 256 GB),89900Upto ,4.7
APPLE iPhone 12 Mini (Black| 256 GB),64999,4.5
APPLE iPhone 13 ((PRODUCT)RED| 256 GB),89900Upto ,4.7
